Country,"1,970","1,971","1,972","1,973","1,974","1,975","1,976","1,977","1,978","1,979","1,980","1,981","1,982","1,983","1,984","1,985","1,986","1,987","1,988","1,989","1,990","1,991","1,992","1,993","1,994","1,995","1,996","1,997","1,998","1,999","2,000","2,001","2,002","2,003","2,004","2,005","2,006","2,007","2,008","2,009","2,010","2,011","2,012","2,013","2,014","2,015","2,016"
United States,"842,100,000,000","911,800,000,000","997,000,000,000","1,091,900,000,000","1,199,000,000,000","1,331,200,000,000","1,466,400,000,000","1,619,200,000,000","1,798,000,000,000","1,994,900,000,000","2,209,500,000,000","2,444,900,000,000","2,627,000,000,000","2,881,200,000,000","3,130,200,000,000","3,411,300,000,000","3,634,800,000,000","3,868,200,000,000","4,166,700,000,000","4,474,300,000,000","4,773,700,000,000","4,964,200,000,000","5,264,900,000,000","5,545,200,000,000","5,850,700,000,000","6,128,663,000,000","6,444,566,000,000","6,785,346,000,000","7,175,144,000,000","7,664,594,000,000","8,236,568,000,000","8,648,238,000,000","9,035,419,000,000","9,521,123,000,000","10,128,963,000,000","10,774,160,000,000","11,393,843,000,000","11,960,223,000,000","12,382,210,000,000","12,289,032,000,000","12,724,404,000,000","13,220,162,000,000","13,594,776,800,000","13,884,900,000,000","14,426,360,000,000","14,943,057,000,000","15,478,781,000,000"
China,"59,149,647,584","63,058,332,624","73,059,424,836","87,884,329,464","92,145,905,546","101,282,648,987","101,298,749,403","110,595,353,257","132,625,561,482","165,804,228,345","198,001,496,005","192,270,847,809","188,930,562,652","205,478,192,691","206,221,865,076","201,519,611,403","194,827,088,486","205,224,635,877","253,164,810,668","293,041,184,318","250,907,704,464","255,742,059,185","294,220,696,572","360,930,656,342","328,032,370,923","433,434,520,688","518,232,537,099","573,096,452,187","621,580,473,680","683,981,029,579","769,072,709,006","828,151,377,254","894,871,759,640","960,646,582,172","1,076,333,829,697","1,238,025,992,109","1,438,884,332,701","1,790,717,941,079","2,266,140,514,380","2,528,440,451,371","2,939,293,234,086","3,730,148,156,173","4,294,970,620,781","4,847,474,515,637","5,344,122,010,622","5,817,208,493,233","6,022,739,845,019"
Japan,"122,689,077,107","143,191,550,123","191,800,864,707","259,894,641,653","297,262,424,637","343,448,274,420","386,303,221,123","476,405,672,259","666,955,254,760","704,463,406,310","741,318,613,921","812,691,164,789","770,537,923,122","851,969,178,432","894,891,049,291","939,522,975,592","1,386,317,714,985","1,689,239,040,256","2,008,470,944,909","1,993,546,360,487","2,046,857,076,465","2,319,098,858,429","2,570,116,415,654","3,001,118,608,094","3,363,887,887,004","3,751,883,679,755","3,320,820,303,737","3,045,815,133,354","2,809,363,701,295","3,253,976,792,695","3,483,020,129,866","3,132,092,458,877","3,044,925,683,789","3,285,667,367,382","3,545,392,284,835","3,506,694,530,382","3,345,110,082,122","3,324,309,706,641","3,778,587,578,224","4,087,038,964,388","4,402,871,387,092","4,829,893,420,535","4,893,849,746,304","4,079,503,197,441","3,810,272,635,047","3,351,016,274,516","3,736,285,178,766"
Germany,"154,949,347,416","182,695,390,466","222,045,622,794","295,942,570,096","336,111,984,233","387,871,016,024","407,587,843,855","472,419,774,403","579,129,582,863","691,143,688,005","757,049,408,738","646,539,213,964","624,084,030,510","618,216,363,933","578,693,206,501","579,522,862,525","811,193,322,090","1,014,726,040,751","1,084,867,158,026","1,070,857,146,481","1,335,262,342,959","1,395,027,457,491","1,604,410,563,494","1,578,745,293,820","1,675,833,432,922","1,964,076,343,430","1,913,964,840,651","1,686,946,058,713","1,689,956,263,217","1,667,808,980,524","1,478,213,348,218","1,480,967,508,121","1,574,096,632,164","1,920,539,934,032","2,138,164,683,094","2,178,215,937,920","2,249,583,668,298","2,497,325,965,338","2,745,524,287,249","2,631,472,492,244","2,568,866,919,630","2,781,968,978,414","2,643,914,836,592","2,798,728,410,679","2,861,925,214,029","2,459,391,071,723","2,532,910,424,832"
United Kingdom,"110,325,167,254","125,834,180,432","146,452,543,539","164,407,254,051","183,818,881,947","219,681,294,852","207,888,424,028","228,024,582,272","287,703,466,437","375,083,880,040","486,698,680,177","470,056,818,237","447,217,752,357","424,731,723,819","399,509,727,013","418,683,232,130","526,781,896,441","642,659,560,258","782,410,765,424","787,205,477,666","926,884,303,726","986,043,999,222","1,036,256,216,834","934,916,648,338","1,000,124,894,721","1,082,768,689,705","1,141,044,669,126","1,266,498,463,431","1,346,290,552,164","1,390,705,413,189","1,373,959,201,480","1,369,423,670,743","1,503,667,437,690","1,733,083,526,199","2,053,282,800,542","2,151,408,337,601","2,283,796,597,279","2,593,860,529,642","2,482,323,122,069","2,091,076,053,225","2,122,020,749,614","2,252,425,926,165","2,295,311,446,979","2,346,930,626,241","2,566,203,671,871","2,445,275,464,454","2,241,719,878,538"
France,"106,400,560,297","119,616,245,859","146,474,991,918","189,076,912,335","206,548,037,066","268,722,614,846","278,419,146,344","307,260,252,587","379,783,976,569","460,907,459,666","533,862,263,302","482,010,843,636","462,089,745,747","441,695,752,005","419,412,572,407","440,294,778,391","607,816,244,401","740,789,292,355","792,647,219,077","788,589,508,482","975,686,139,288","980,156,763,630","1,091,879,935,821","1,049,697,597,050","1,098,105,353,779","1,256,591,458,435","1,271,671,333,665","1,135,675,854,422","1,160,872,356,505","1,148,247,049,441","1,047,212,205,015","1,059,539,511,951","1,156,907,507,243","1,438,002,108,647","1,647,859,045,278","1,719,678,654,927","1,805,556,734,538","2,055,275,016,681","2,270,548,439,073","2,158,163,965,648","2,116,695,166,014","2,271,577,210,011","2,131,988,489,932","2,234,875,495,870","2,257,819,559,557","1,915,772,008,583","1,946,412,197,488"
India,"52,463,663,385","57,141,505,396","61,890,863,633","72,343,848,131","83,641,312,086","83,962,829,810","82,132,701,056","95,808,671,896","111,414,953,426","122,346,398,360","153,161,993,577","160,147,311,064","162,979,656,592","179,101,611,356","176,954,723,712","180,148,886,735","199,943,564,093","219,622,609,196","236,655,312,170","228,057,986,394","242,101,192,853","214,499,834,002","212,160,030,472","206,746,987,397","231,346,543,306","259,129,889,355","278,017,259,181","298,921,044,902","308,889,496,584","333,474,032,993","340,267,148,348","353,309,509,707","361,280,875,118","411,281,963,791","477,936,059,014","552,132,933,274","614,430,005,526","773,211,500,363","846,763,149,926","881,844,919,213","1,094,410,845,776","1,259,645,000,336","1,249,482,539,328","1,302,464,100,127","1,397,920,182,616","1,456,509,397,833","1,591,787,544,845"
Brazil,"28,127,785,437","31,652,064,085","40,690,881,474","56,708,399,838","74,714,462,690","84,388,906,865","101,358,975,369","116,881,469,385","131,934,715,682","146,917,580,110","159,124,550,732","171,463,554,589","187,293,777,201","138,355,970,223","138,232,196,694","141,757,602,066","176,782,769,819","183,913,960,106","198,663,779,335","270,086,940,406","319,067,988,074","313,321,430,156","296,781,779,290","329,972,616,625","469,236,691,729","644,990,584,908","715,078,419,419","742,122,657,533","720,325,105,336","501,542,996,193","541,012,221,324","463,559,680,001","418,335,065,699","451,199,423,730","526,557,759,440","707,906,018,033","880,303,977,599","1,101,176,601,766","1,332,436,728,153","1,360,387,304,415","1,750,276,403,530","2,065,275,354,183","1,970,752,065,788","1,993,283,532,586","2,016,733,904,937","1,507,239,524,818","1,512,014,018,472"
Italy,"83,913,696,793","94,249,631,739","111,035,095,928","132,987,913,354","148,407,626,039","173,922,948,673","168,085,468,381","192,607,648,475","233,503,493,005","293,876,382,620","363,340,354,531","333,752,022,602","332,135,941,849","342,831,780,176","338,356,451,443","349,994,233,843","493,694,863,134","624,953,797,727","690,705,904,753","722,378,642,978","913,305,888,321","968,093,279,704","1,036,018,484,776","828,944,186,328","853,716,364,674","895,829,769,083","999,015,825,018","954,244,020,140","981,105,878,177","976,591,200,478","895,613,099,701","907,472,163,053","985,864,198,392","1,231,842,323,790","1,407,186,192,526","1,463,696,960,746","1,533,484,287,969","1,722,124,032,886","1,888,928,425,695","1,775,626,428,456","1,730,466,377,264","1,846,256,062,557","1,682,106,819,721","1,721,144,635,545","1,723,833,505,186","1,462,097,152,121","1,479,754,446,083"
