Name,Early 2008,Late 2008,Early 2009,Late 2009,Early 2010,Late 2010,Early 2011,Late 2011,Early 2012,Late 2012,Early 2013,Late 2013,Early 2014,Late 2014,Early 2015,Late 2015,Early 2016,Late 2016,Early 2017,Late 2017,Early 2018,Late 2018,Early 2019
Robert Griesemer,60,289,233,357,163,139,178,148,183,119,95,28,52,45,179,123,124,164,145,22,85,77,0
Russ Cox,0,304,477,670,414,357,400,438,440,120,296,290,249,487,400,256,148,134,105,220,59,113,0
Rob Pike,125,275,247,372,141,156,229,258,238,70,159,125,90,105,179,92,18,15,5,9,12,32,0
Brad Fitzpatrick,0,0,0,0,2,8,166,108,192,71,183,118,159,94,116,149,233,249,120,62,79,91,4
Ian Lance Taylor,0,42,37,66,50,46,62,33,61,43,62,69,53,62,59,128,189,136,89,110,120,140,1
Austin Clements,0,0,1,98,2,0,0,0,0,0,0,0,0,90,176,158,119,121,127,132,97,101,1
Andrew Gerrand,0,0,0,0,90,131,146,179,204,62,78,87,48,60,29,23,43,3,1,0,0,0,0
Josh Bleecher Snyder,0,0,0,0,0,0,0,0,0,0,0,15,16,43,133,106,170,136,372,52,80,20,0
Keith Randall,0,0,0,0,0,0,0,0,0,0,22,52,58,101,62,131,171,91,49,39,50,94,2
Shenghou Ma,0,0,0,0,0,0,0,0,167,124,111,43,75,140,152,57,27,18,3,0,0,2,0
