Name,Late 1990,Early 1991,Late 1991,Early 1992,Late 1992,Early 1993,Late 1993,Early 1994,Late 1994,Early 1995,Late 1995,Early 1996,Late 1996,Early 1997,Late 1997,Early 1998,Late 1998,Early 1999,Late 1999,Early 2000,Late 2000,Early 2001,Late 2001,Early 2002,Late 2002,Early 2003,Late 2003,Early 2004,Late 2004,Early 2005,Late 2005,Early 2006,Late 2006,Early 2007,Late 2007,Early 2008,Late 2008,Early 2009,Late 2009,Early 2010,Late 2010,Early 2011,Late 2011,Early 2012,Late 2012,Early 2013,Late 2013,Early 2014,Late 2014,Early 2015,Late 2015,Early 2016,Late 2016,Early 2017,Late 2017,Early 2018,Late 2018,Early 2019
Guido van Rossum,105,191,254,358,248,92,108,222,303,599,270,278,683,678,948,629,576,533,148,472,261,332,548,202,341,262,26,9,3,7,8,41,67,319,471,75,37,4,0,0,0,14,0,2,0,1,87,52,6,14,75,48,153,16,1,1,0,0
Benjamin Peterson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,607,723,383,611,348,300,266,372,173,182,94,324,208,266,139,105,255,45,47,14,46,1
Georg Brandl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,132,295,227,271,349,671,334,523,462,320,768,218,86,230,145,86,230,76,186,5,0,29,1,0,0,0,0,0
Victor Stinner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,289,524,503,158,103,157,473,444,376,395,336,292,320,202,218,80,226,0
Fred Drake,0,0,0,0,0,0,0,0,0,0,0,0,54,23,148,768,293,577,178,266,707,536,660,280,248,118,182,124,105,35,19,44,30,10,10,19,9,0,1,7,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raymond Hettinger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,111,228,251,202,257,104,68,9,16,78,68,293,45,450,52,65,267,385,39,77,36,104,88,105,44,103,132,37,139,26,19,18,37,0
Serhiy Storchaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,508,390,223,306,477,407,347,547,227,128,114,140,1
Antoine Pitrou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,173,250,407,580,404,460,422,265,125,221,111,99,57,4,2,9,22,35,10,1,0
Jack Jansen,0,0,0,0,7,33,7,1,18,105,207,144,187,101,73,91,61,80,70,127,211,276,300,170,246,310,68,24,25,17,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin v. Löwis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,80,167,138,204,153,80,64,127,52,26,268,134,83,129,222,152,98,23,87,73,66,47,126,44,9,16,36,10,4,0,0,0,0,0,0,0,0
