Name,Late 2004,Early 2005,Late 2005,Early 2006,Late 2006,Early 2007,Late 2007,Early 2008,Late 2008,Early 2009,Late 2009,Early 2010,Late 2010,Early 2011,Late 2011,Early 2012,Late 2012,Early 2013,Late 2013,Early 2014,Late 2014,Early 2015,Late 2015,Early 2016,Late 2016,Early 2017,Late 2017,Early 2018,Late 2018,Early 2019
Aaron Patterson,0,0,0,0,0,0,0,0,0,3,2,46,1134,567,392,521,177,315,461,534,147,61,378,80,25,21,12,16,26,0
Rafael Mendonça França,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,280,503,478,551,747,554,557,299,135,119,122,80,67,37,1
David Heinemeier Hansson,289,994,513,378,196,140,244,150,124,30,48,89,20,100,19,7,50,34,38,96,51,106,160,44,34,23,264,43,133,1
Jeremy Kemper,0,17,328,90,359,354,382,347,305,357,311,264,27,2,38,92,75,46,43,17,46,19,1,0,0,0,0,0,0,0
José Valim,0,0,0,0,0,0,0,1,2,110,243,544,221,410,465,431,62,29,44,1,6,0,0,0,0,0,0,0,0,0
Xavier Noria,0,0,0,0,0,0,0,97,38,163,132,317,231,187,165,105,132,165,69,38,73,32,69,56,98,7,7,14,10,0
Ryuta Kamizono,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,27,65,52,145,171,248,505,291,317,12
Yves Senn,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,59,164,302,413,197,247,186,45,17,6,0,0,0,0
Rafael França,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,313,216,318,195,148,160,3
Carlos Antonio da Silva,0,0,0,0,0,0,0,0,0,0,0,8,30,6,1,281,308,379,201,112,48,64,10,0,1,0,0,0,0,0
