Name,Early 1998,Early 1999,Late 1999,Early 2000,Late 2000,Early 2001,Late 2001,Early 2002,Late 2002,Early 2003,Late 2003,Early 2004,Late 2004,Early 2005,Late 2005,Early 2006,Late 2006,Early 2007,Late 2007,Early 2008,Late 2008,Early 2009,Late 2009,Early 2010,Late 2010,Early 2011,Late 2011,Early 2012,Late 2012,Early 2013,Late 2013,Early 2014,Late 2014,Early 2015,Late 2015,Early 2016,Late 2016,Early 2017,Late 2017,Early 2018,Late 2018,Early 2019
H_Konishi,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a_matsuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0,0,19,0,6,3,7,1,0,0
aamine,0,0,4,26,22,16,15,22,37,31,54,49,46,25,39,5,15,35,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akira,0,0,0,0,0,0,0,5,5,1,9,10,3,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akiyoshi,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akr,0,0,0,0,0,0,8,32,8,29,49,50,46,71,81,78,41,43,450,357,576,439,168,249,205,125,144,196,26,394,267,222,168,63,30,77,20,5,15,0,13,0
arai,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
aycabta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
ayumin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,21,12,14,1,5,1,8,0,0,0,0,0,0,0,0
azav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
charliesome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32,40,9,3,0,0,0,0,0,0,0,0,0
dave,0,0,0,0,0,0,0,0,0,3,47,69,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
davidflanagan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dblack,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drbrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,4,27,41,17,3,3,15,15,131,86,92,119,105,78,7,8,1,0,2,0,0,0,0,0,0
duerst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,16,8,7,0,1,1,2,2,1,1,2,0,54,1,19,112,51,25,9,0,68,0
eban,0,0,0,25,86,85,37,82,82,124,228,140,160,123,89,83,13,24,5,11,1,1,1,2,1,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
emboss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,35,21,18,1,5,2,0,0,0,0,0,0,0,0,0,0
eregon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,26,16,8,1,10,5,5,0,48,57,30,71,0
evan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,83,12,8,12,2,0,0,4,23,0,2,0
gogotanaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,0,0,0,0,0,0
gotoken,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gotoyuzo,0,0,0,0,0,0,0,0,0,0,73,29,32,32,33,10,10,3,28,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gsinclair,0,0,0,0,0,0,0,0,0,14,22,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
headius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,9,4,1,11,3,0,0,0,0,0
hone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
hsbt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,90,155,112,130,69,67,62,149,63,105,1
iwamatsu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jeg2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,8,4,0,6,4,4,0,0,3,1,2,3,0,0,0,1,0,0,0,0,0,0
jim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k0kubun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,37,176,462,1
kanemoto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,2,2,1,1,0,1,4,0,0,0,0,0,0,0,0,0,0
katsu,0,0,0,0,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kazu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,34,21,11,25,34,31,21,34,60,81,55,40,53,57,66,52,92,64,91,76,117,2
keiju,0,0,0,0,0,6,2,0,5,1,3,1,0,6,6,1,3,5,4,0,8,0,8,6,0,10,0,0,14,2,0,0,1,0,0,0,0,0,0,0,0,0
knu,0,0,0,0,0,66,45,31,80,32,18,2,3,0,0,0,50,25,13,65,40,29,14,18,14,4,2,20,32,39,54,5,9,4,13,1,9,0,22,3,7,0
