Name,Early 2002,Late 2002,Early 2003,Late 2003,Early 2004,Late 2004,Early 2005,Late 2005,Early 2006,Late 2006,Early 2007,Late 2007,Early 2008,Late 2008,Early 2009,Late 2009,Early 2010,Late 2010,Early 2011,Late 2011,Early 2012,Late 2012,Early 2013,Late 2013,Early 2014,Late 2014,Early 2015,Late 2015,Early 2016,Late 2016,Early 2017,Late 2017,Early 2018,Late 2018
normalperson yh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,16,128,117,39,22,23,84,460,483,149,197,79,34,197,186,305,306
nobu ruby-lang.,0,0,0,0,0,0,0,3,25,113,89,123,86,132,137,98,67,56,57,180,215,184,350,275,500,500,319,279,309,261,277,169,167,121
takashikkbn gma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,15,35,66,111
shevegen gmail.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,0,4,13,7,34,13,16,57,34,65,145,158,101
ko1 atdot.net,0,0,0,0,0,0,0,4,0,8,12,30,40,54,16,1,3,21,34,54,46,130,82,38,98,191,77,146,38,43,137,37,60,91
Greg.mpls gmail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,95,120,72,90
mame ruby-lang.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,18,39,30,13,9,77,68,90
duerst it.aoyam,0,0,0,0,0,0,0,0,0,0,0,99,41,87,27,30,6,16,11,39,29,41,44,40,25,107,28,59,121,94,66,88,49,89
samuel oriontra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,26,4,94,78
eregontp gmail.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,45,35,24,16,8,7,7,3,22,13,31,31,69,30,100,110,83,66
shyouhei ruby-l,0,0,0,0,0,0,0,0,0,7,27,19,32,32,35,23,20,36,39,78,54,83,5,10,60,18,0,0,126,218,187,75,66,62
merch-redmine j,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,6,4,15,9,8,12,13,18,31,31,23,43,48,54
hsbt ruby-lang.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,68,106,113,78,52
nagachika00 gma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,27,7,10,111,127,193,175,123,124,107,96,96,87,58,51
ruby-core marc-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,39,97,106,152,52,34,51,28,31,15,26,10,51,17,49
naruse airemix.,0,0,0,0,0,0,0,0,0,0,1,2,26,17,7,41,54,66,56,248,266,142,170,105,150,97,62,44,207,58,118,66,77,43
jaruga redhat.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,40
zverok.offline ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,22,7,17,67,35
chopraanmol1 gm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32
matz ruby-lang.,33,85,103,134,142,122,99,105,90,154,107,183,196,206,113,122,99,65,85,83,101,87,67,69,48,64,37,59,56,93,59,74,67,27
